,TEAM NO,DUNKS FG%,DUNKS SHARE,DUNKS FG%D,DUNKS D SHARE,CLOSE TWOS FG%,BADJ EM_x,BADJ O_x,BADJ D_x,BARTHAG_x,BADJ EM_y,BADJ O_y,BADJ D_y,BARTHAG_y,YEAR,BY YEAR NO,BY ROUND NO,TEAM,SEED,ROUND,CURRENT ROUND,SCORE,GAME ID,OUTCOME,TEAM NO_o,DUNKS FG%_o,DUNKS SHARE_o,DUNKS FG%D_o,DUNKS D SHARE_o,CLOSE TWOS FG%_o,BADJ EM_x_o,BADJ O_x_o,BADJ D_x_o,BARTHAG_x_o,BADJ EM_y_o,BADJ O_y_o,BADJ D_y_o,BARTHAG_y_o,YEAR_o,SEED_o,CURRENT ROUND_o,GAME ID_o,UPSET
0,1011,88.7,13.0,85.2,5.3,60.7,33.0,121.6,88.6,0.974,22.6,110.8,88.2,0.932,2023,1888,1888.0,Alabama,1,16,64,96.0,74,W,955,90.0,1.6,97.6,4.1,56.5,-1.2,107.8,109.0,0.468,-2.0,102.4,104.4,0.445,2023,16,64,74,-1
1,979,80.2,6.7,86.7,5.8,59.9,20.8,118.1,97.3,0.903,12.5,105.3,92.8,0.811,2023,1886,1886.0,Maryland,8,32,64,67.0,75,W,945,89.7,6.3,92.8,6.9,60.3,21.8,117.4,95.6,0.914,17.6,114.8,97.2,0.871,2023,9,64,75,-1
2,961,87.5,7.8,75.0,5.4,61.5,25.7,113.8,88.1,0.95,17.2,109.1,91.9,0.878,2023,1884,1884.0,San Diego St.,5,2,64,63.0,76,W,1003,86.5,4.6,79.5,3.2,60.9,13.6,110.4,96.8,0.819,9.4,108.1,98.7,0.74,2023,12,64,76,-1
3,946,89.7,9.4,81.5,5.2,60.6,19.3,110.8,91.5,0.9,14.9,110.1,95.2,0.842,2023,1882,1882.0,Virginia,4,64,64,67.0,77,L,996,91.5,9.1,93.6,3.8,65.9,5.4,110.9,105.5,0.64,9.5,112.6,103.1,0.734,2023,13,64,77,1
4,1001,94.7,10.4,78.9,4.3,63.6,26.3,115.7,89.4,0.951,17.1,112.4,95.3,0.87,2023,1880,1880.0,Creighton,6,8,64,72.0,78,W,971,81.3,4.7,90.4,7.3,60.3,15.2,113.0,97.8,0.84,15.2,113.0,97.8,0.84,2023,11,64,78,-1
5,1006,83.8,7.4,95.7,7.9,65.9,23.3,118.8,95.5,0.925,19.6,123.0,103.4,0.88,2023,1878,1878.0,Baylor,3,32,64,74.0,79,W,953,88.1,4.7,91.5,3.8,63.5,4.8,113.0,108.2,0.622,4.5,105.8,101.3,0.622,2023,14,64,79,-1
6,974,90.9,10.2,90.9,8.9,65.0,11.9,116.2,104.3,0.776,16.1,119.2,103.1,0.841,2023,1876,1876.0,Missouri,7,32,64,76.0,80,W,949,85.0,12.0,85.9,4.8,63.5,18.3,116.4,98.1,0.877,16.8,114.8,98.0,0.861,2023,10,64,80,-1
7,1010,90.9,9.4,90.9,5.7,68.0,23.7,118.1,94.4,0.929,24.6,121.0,96.4,0.932,2023,1874,1874.0,Arizona,2,64,64,55.0,81,L,965,89.6,6.4,90.7,3.6,57.1,4.6,108.6,104.0,0.622,7.3,106.8,99.5,0.693,2023,15,64,81,1
8,963,95.5,9.3,77.8,4.8,63.8,28.5,121.3,92.8,0.956,23.9,116.5,92.6,0.933,2023,1872,1872.0,Purdue,1,64,64,58.0,82,L,998,79.4,2.5,90.9,6.6,57.4,-12.7,106.0,118.7,0.214,-12.3,103.6,115.9,0.216,2023,16,64,82,1
9,978,83.2,8.8,86.1,6.0,63.2,17.2,111.3,94.1,0.873,21.6,115.8,94.2,0.915,2023,1870,1870.0,Memphis,8,64,64,65.0,83,L,997,77.3,7.1,93.2,4.2,58.6,19.3,115.0,95.7,0.892,15.7,109.8,94.1,0.855,2023,9,64,83,1
