YEAR,CONF ID,CONF,CONF TYPE,GAMES,W,L,WIN%,BADJ EM,BADJ O,BADJ D,BARTHAG,EFG%,EFGD%,TOV%,TOV%D,ORB%,DRB%,FTR,FTRD,2PT%,2PT%D,3PT%,3P%TD,BADJ T,WAB
2024,1,A10,MID,323,193,130,59.75232198,5.4,107.6,102.2,0.6439,51.5,48.6,16.7,16.9,28.8,28.7,33.8,32,50.8,47.7,35.1,33.4,68.6,-3.5
2024,2,ACC,HIGH,332,202,130,60.84337349,11.3,110.2,98.9,0.7755,51.3,48.9,16,17.4,28.8,27.2,32.2,29.8,51,49,34.5,32.6,69,-1.3
2024,3,AE,LOW,184,90,94,48.91304348,-5.3,101.2,106.5,0.3572,49.9,49.3,17.1,16.2,26.1,29,30.2,31.8,50.7,50.3,32.3,31.5,70.8,-6.7
2024,4,Amer,MID,294,163,131,55.44217687,4.1,107.5,103.4,0.6081,50.4,49.3,16.7,17.5,31.1,30.8,34.6,31.3,50.8,49.2,33.2,32.9,68.9,-4.3
2024,5,ASun,MID,254,102,152,40.15748031,-7.8,103.3,111.1,0.3014,50.6,52.9,16.6,15.8,27.9,30.7,29.8,33,49.6,52.6,34.7,35.7,69,-8.5
2024,6,B10,HIGH,314,197,117,62.7388535,15.2,113.2,98,0.8394,51.9,48.5,16,17.3,31.1,28.9,34.8,29.9,52,47.7,34.5,33.3,68.6,-0.2
2024,7,B12,HIGH,311,211,100,67.84565916,17,112.9,95.9,0.8674,52.5,47.7,17.3,19.1,33.1,27.6,33.5,30.8,52.4,47.3,35.2,32.3,68.6,0.6
2024,8,BE,HIGH,246,146,100,59.3495935,13.6,112.2,98.6,0.8162,51.7,48.5,16.7,16.9,31.1,28.9,31.2,28.4,52.2,48.1,33.9,32.9,68.6,-0.6
2024,9,BSky,MID,207,95,112,45.89371981,-4.8,103.1,107.9,0.3703,51.4,52.9,17.4,16.8,25.8,27.2,31.9,34.7,52,53.2,33.6,34.9,68.1,-7.2
2024,10,BSth,LOW,190,89,101,46.84210526,-3.2,104.2,107.4,0.4134,50.2,51,17.2,16.7,29.7,29.4,38,37.5,49.9,51.9,33.9,33,68.3,-7
2024,11,BW,LOW,228,111,117,48.68421053,-2.7,101.8,104.5,0.427,49,49.4,18,17.8,29.1,28.9,35,36.2,49,49,32.6,33.4,68.5,-6.6
2024,12,CAA,LOW,302,142,160,47.01986755,-3.6,104.2,107.8,0.4035,50,51.3,16.6,16.2,29.3,29.7,31.7,30.1,49.8,51.1,33.5,34.4,68,-7.3
2024,13,CUSA,MID,180,84,96,46.66666667,-1.3,101.3,102.6,0.4636,48.9,50.2,19.3,19.7,29.5,29.2,34.3,36.2,49.1,50.2,32.4,33.5,68.9,-6.5
2024,14,Horz,LOW,241,107,134,44.39834025,-6,103.5,109.5,0.3432,50.9,52.6,17.7,17.8,30.5,31.9,31.5,32.7,51.7,53.2,33.1,34.4,69.1,-8.1
2024,35,ind,LOW,25,9,16,36,-8.4,97.4,105.8,0.2792,45.6,52.3,20.4,21.6,32.1,35.4,38.3,36.2,45.9,55,30,31.6,66.2,-10.6
2024,15,Ivy,MID,144,75,69,52.08333333,-0.1,105.5,105.6,0.4972,51.4,51.1,17,16.1,27.3,27.5,30,27.6,52,51.7,33.6,33.5,67.9,-4.7
2024,16,MAAC,LOW,228,102,126,44.73684211,-6.5,99.9,106.4,0.3256,49,50.7,18.7,18.3,30,29.4,30.1,32.7,48.7,51,33.2,33.4,68.9,-8.1
2024,17,MAC,MID,256,119,137,46.484375,-5.7,102.6,108.3,0.3498,50.6,51.7,17.4,16.7,28.5,29.3,32.9,31.2,51,52.4,33.3,33.8,68.6,-7.6
2024,18,MEAC,LOW,160,52,108,32.5,-13.6,95.7,109.3,0.1778,45.7,51.4,20.3,19.5,30.9,33.4,35.4,39.8,45.7,52,30.5,33.6,69.1,-9.9
2024,19,MVC,MID,265,145,120,54.71698113,3.9,106.4,102.5,0.6059,52.2,50.4,16.7,17.1,25.2,26,31.4,29.9,52.3,50.5,34.6,33.4,68.4,-4.7
2024,20,MWC,MID,234,142,92,60.68376068,8.6,110.1,101.5,0.7184,52.9,50.6,16.5,17.6,28.1,28.2,34.4,31.5,53.4,50.9,34.7,33.3,68.1,-2
2024,21,NEC,LOW,187,67,120,35.82887701,-13.7,96.4,110.1,0.1781,48,51.6,18.3,18.5,26,31.8,29.8,32,48,51.8,32.1,34.1,68.8,-10.1
2024,22,OVC,LOW,219,88,131,40.1826484,-10.4,98.3,108.7,0.2382,47.9,50.4,18.2,16.8,28.2,28.9,32.8,36.2,47.5,50.4,32.3,33.6,68.7,-8.5
2024,24,P12,HIGH,261,150,111,57.47126437,11.3,110.8,99.5,0.7766,52.1,49.6,16.8,17,29.3,27.3,33.5,30.8,51.7,48.8,35.2,34,69.6,-1.9
2024,25,Pat,LOW,215,76,139,35.34883721,-12,97.1,109.1,0.2069,48.7,51.4,18.2,16.9,26.6,26.8,28.3,31.8,48.3,50.8,33,34.9,66.8,-10.7
2024,26,SB,MID,296,133,163,44.93243243,-3.4,102.9,106.3,0.4057,49.4,50.2,17.1,17.1,30.1,30.4,32,35.2,49.3,50.3,33,33.4,69.8,-7.5
2024,27,SC,MID,206,105,101,50.97087379,-2.1,104.4,106.5,0.4421,51.5,50.9,17.4,16.3,29.3,28.5,29.2,32.1,51,50.4,34.9,34.5,69.3,-6.2
2024,28,SEC,HIGH,307,197,110,64.16938111,14.3,113.3,99,0.8252,51.4,48,16,17.3,32.5,29.7,35.4,32.8,51.6,47.4,34.1,32.7,69.7,-0.2
2024,29,Slnd,LOW,195,73,122,37.43589744,-9.5,100.1,109.6,0.2613,48.3,51.9,18.8,18,29.5,32.1,35.5,37.9,47.6,52.5,32.9,34,69.1,-8.1
2024,30,Sum,LOW,184,78,106,42.39130435,-5.1,104.6,109.7,0.3681,51.4,52.3,16.1,15.3,27.3,28,32,31.8,50.5,51.6,35.2,35.7,68.5,-8.1
2024,31,SWAC,LOW,239,73,166,30.54393305,-14.4,95.9,110.3,0.1682,46,53,19.7,19,28.8,33.3,35.2,42.2,45.3,53,31.5,35.4,69.8,-8.9
2024,32,WAC,MID,222,107,115,48.1981982,-1.8,102,103.8,0.4501,48.5,49.5,19.4,19.4,30.3,30.3,39.7,38.8,48.7,49.3,32.1,33.3,69.9,-6.2
2024,33,WCC,MID,201,102,99,50.74626866,1.4,105.6,104.2,0.538,51.7,50.6,17.6,16.7,29.6,27.1,30.7,32.5,51.8,50.2,34.3,34.2,68.8,-5.6
2023,1,A10,MID,485,258,227,53.19587629,1.6,103.2,101.6,0.5436,50.3,49.2,18.7,18.2,28.8,71.6,33.3,31.9,50.2,49.3,33.5,32.7,68,-8.1
2023,2,ACC,HIGH,488,272,216,55.73770492,8.2,108.8,100.6,0.7121,51.5,50.4,16.4,16.9,28,72.3,29.8,27.7,51.1,50,34.8,34,67.8,-3.6
2023,3,AE,LOW,266,125,141,46.9924812,-6.4,100.9,107.3,0.3295,50.5,51.2,17.3,17,26.6,73.2,29.2,30.7,50.1,50.9,34.2,34.4,67.7,-10.8
2023,4,Amer,MID,354,193,161,54.51977401,8.3,107.1,98.8,0.7168,50.4,48.8,17.9,18.8,29.9,70.4,31.7,31.9,50.7,48.7,33.4,32.6,68.5,-4.2
2023,5,ASun,MID,411,199,212,48.41849148,-2.7,103.3,106,0.4254,51.2,52,17.5,16.8,26.9,72.5,27.9,28.8,50.5,51.7,34.8,35,67.6,-8.8
2023,6,B10,HIGH,456,267,189,58.55263158,14.1,110.4,96.3,0.829,51.1,48.7,16.2,17.1,28.4,73.1,29.5,26.6,50.9,48.3,34.4,33,66.8,0.3
2023,7,B12,HIGH,327,206,121,62.9969419,18.1,111.9,93.8,0.8834,51.6,48.5,18.8,20.6,31.1,71,33.5,33,51.9,48.7,34.1,32,68.5,3.1
2023,8,BE,HIGH,360,202,158,56.11111111,12.5,110.5,98,0.7976,51.7,49.9,17.5,18.2,29.3,71.8,30.4,28.1,51.4,49.1,34.8,34.2,68.7,-1.3
2023,9,BSky,MID,307,137,170,44.62540717,-3,103.2,106.2,0.4186,51.8,52.5,17.9,17.2,25.2,73.8,32.4,34.3,51.9,52.5,34.4,35,67.3,-10.7
2023,10,BSth,LOW,301,137,164,45.51495017,-6,100.7,106.7,0.3406,51.3,51.7,19.2,18.8,28.6,70.4,35.2,34.7,51.1,51.7,34.5,34.5,67.3,-11.5
2023,11,BW,LOW,341,165,176,48.38709677,-1.5,101,102.5,0.4591,48.9,49.4,18.7,18.4,28.3,72.7,33,34.2,48.3,48.5,33.5,34,67.3,-9.7
2023,12,CAA,LOW,408,188,220,46.07843137,-6,99.8,105.8,0.3372,48.9,50.4,18.2,17.6,28.1,71,30.5,29.7,48.5,50,33,34.1,67.5,-11.1
2023,13,CUSA,MID,340,186,154,54.70588235,3,104.7,101.7,0.584,51.4,50.5,19,19.4,29.4,71.2,31.9,31.2,50.8,49.4,34.9,35,67.5,-6.3
2023,14,Horz,LOW,341,156,185,45.74780059,-6.7,100.9,107.6,0.3226,50.6,51.8,18.6,18.4,29.5,69.4,29.1,28.8,50.7,51.8,33.6,34.5,68.1,-11.7
2023,35,ind,LOW,52,9,43,17.30769231,-19.5,94.6,114.1,0.1043,48.2,54.3,22,17.1,29.6,66.7,28.2,31.9,47.9,53.5,32.4,37.2,65.9,-16.4
2023,15,Ivy,MID,215,108,107,50.23255814,-0.4,102.7,103.1,0.49,51.2,50.4,18.5,17.7,27.1,73.9,29.9,29.6,51.8,50.5,33.6,33.5,68.9,-7.8
2023,16,MAAC,LOW,340,163,177,47.94117647,-5.2,99.6,104.8,0.3564,48.7,49.3,18.4,18.3,30,70.5,30.2,32.2,47.9,48.6,33.4,33.8,66.9,-11.3
2023,17,MAC,MID,363,171,192,47.10743802,-3,103.8,106.8,0.4189,51.3,52.1,17.9,17.9,29.7,70,33.1,34.2,51.3,51.9,34.2,35,68.9,-9.9
2023,18,MEAC,LOW,228,93,135,40.78947368,-10.4,97.2,107.6,0.238,49.2,52.2,21.6,21,29.9,67.4,33.1,37.2,48.6,52.1,33.6,34.8,69.9,-11.5
2023,19,MVC,MID,381,195,186,51.18110236,-1.2,101.7,102.9,0.4675,51.1,50.5,17.9,17.9,25,74.2,29.7,29.9,51.2,50.3,34,33.9,67.6,-9.1
2023,20,MWC,MID,347,199,148,57.34870317,9.8,108.6,98.8,0.7469,51.9,49.9,17.3,18,26.5,73.6,32.9,30.2,51.7,49.5,34.8,33.7,67.1,-2.9
2023,21,NEC,LOW,268,108,160,40.29850746,-15.4,94.4,109.8,0.1492,48.5,51.5,19.3,19.5,27.2,69.8,29.4,30.8,47.7,50.9,33.3,35.1,68,-14.2
2023,22,OVC,LOW,294,128,166,43.53741497,-10.2,98.4,108.6,0.2441,49.7,51.4,18.1,18.1,27.1,71.2,34.2,35,48.6,51,34.5,34.7,69.6,-12.6
2023,24,P12,HIGH,393,214,179,54.45292621,11.4,107.9,96.5,0.783,49.9,47.9,18.5,18.2,30,71.2,31.1,28.8,49.6,47.3,33.6,32.7,67.7,-2.1
2023,25,Pat,LOW,311,143,168,45.9807074,-7.8,99,106.8,0.2954,51.5,51.6,18.4,17.8,25.4,73.6,27.5,28.9,50.8,51.3,35.2,34.6,66.9,-12.5
2023,26,SB,MID,419,213,206,50.8353222,0,102.6,102.6,0.5001,49.3,49.4,17.4,18.3,29.3,71,31.6,32.1,49.2,48.7,32.9,33.8,67.7,-8.4
2023,27,SC,MID,302,139,163,46.02649007,-4,102.6,106.6,0.3913,51.2,51.6,17.6,17.1,27.9,72.3,31.4,31.6,51.1,51.6,34.2,34.4,67.5,-10.9
2023,28,SEC,HIGH,460,272,188,59.13043478,12.9,109.4,96.5,0.8077,49.7,47.8,18,18.8,32.5,70,34.4,32.4,50.3,48.1,32.6,31.6,67.9,-0.5
2023,29,Slnd,LOW,297,121,176,40.74074074,-11.7,99,110.7,0.2156,50.6,53.7,19.7,19.6,30,68.3,32,36.6,49.9,53.6,34.6,36,68.8,-13
2023,30,Sum,LOW,301,140,161,46.51162791,-6.4,101.6,108,0.3313,50.7,51.6,17.1,16,26.2,72.9,30.4,28.9,50.5,51.4,34.1,34.7,67.9,-10.5
2023,31,SWAC,LOW,363,135,228,37.19008264,-12,94.4,106.4,0.1999,46.3,50.4,20.7,20.1,29.6,68.8,34.5,39.5,45.2,50,32.3,34,68.6,-13.4
2023,32,WAC,MID,373,189,184,50.67024129,2.2,103.9,101.7,0.5617,50.1,50.6,19.4,19.5,29.1,71.7,37.5,36.6,49.1,49.9,34.6,34.5,68.8,-6.9
2023,33,WCC,MID,310,170,140,54.83870968,7.8,109.2,101.4,0.7007,53.2,52,17.5,17.5,28.6,73.1,32.6,32.3,52.3,51.1,36.4,35.7,69.5,-4.3
2022,1,A10,MID,436,234,202,53.66972477,4.1,103.6,99.5,0.6141,50.3,49.3,18,18.4,27.4,72.9,29.2,28.5,49.8,48.7,34.1,33.5,67.8,-6.2
2022,2,ACC,HIGH,487,270,217,55.44147844,11.2,109.2,98,0.7765,51.5,50.2,16.9,17.5,28.2,72.8,28.9,26.5,51,49.7,35,34.1,67.4,-2.1
2022,3,AE,LOW,291,134,157,46.04810997,-8.3,98.2,106.5,0.2829,50.2,51.1,17.3,17.3,25.4,73,26.6,27.3,49.1,50.1,34.7,35.1,67.3,-11.2
2022,4,Amer,MID,336,188,148,55.95238095,8.8,105.4,96.6,0.7305,48.8,47.4,18.3,19.4,30.4,70.4,32.2,31,48.2,46.7,33.2,32.3,68.1,-3.5
2022,5,ASun,MID,338,148,190,43.78698225,-4.6,100.8,105.4,0.3756,50.5,51.2,18.3,17.2,26.8,71.4,27.5,28.8,49.8,51.1,34.2,34.3,68,-13.5
2022,6,B10,HIGH,445,261,184,58.65168539,14.2,110.8,96.6,0.8278,51.6,49.1,16.3,16.5,28.1,73.4,30.2,27.5,50.9,48.2,35.1,33.7,67.7,0
2022,7,B12,HIGH,323,203,120,62.84829721,18.3,109.8,91.5,0.8907,50.7,47.8,19.5,21.7,31.5,71.3,31.6,30.9,51.6,48.5,32.9,31,67.6,3.2
2022,8,BE,HIGH,345,203,142,58.84057971,12,108.4,96.4,0.7934,49.7,47.8,17.5,17.9,30.5,71.3,30.5,27.5,49.5,47.1,33.3,32.7,68.6,-0.6
2022,9,BSky,MID,327,151,176,46.17737003,-7.7,99.3,107,0.2983,51,52.1,17.8,17.4,24.4,74.2,33.7,33.6,50.5,51.5,34.6,35.5,68.6,-11.5
2022,10,BSth,LOW,334,143,191,42.81437126,-6.3,98,104.3,0.3291,49,50.6,19.2,18.8,27.1,71.8,31.7,34.1,49.2,51.2,32.5,33.1,67.6,-11.9
2022,11,BW,LOW,289,135,154,46.71280277,-4.4,98.6,103,0.3776,48.7,49.2,19.1,18.4,27,72.8,32.6,31.8,48.5,48.8,32.9,33.4,67.1,-9.2
2022,12,CAA,LOW,305,151,154,49.50819672,-0.6,102.6,103.2,0.4832,50.5,51.3,18.6,18.5,28.3,72.1,29.8,30.8,50.6,51,33.6,34.5,68.4,-8.7
2022,13,CUSA,MID,424,217,207,51.17924528,-0.3,102.1,102.4,0.4907,50.4,50.4,18.2,18.5,27.8,72.1,29.6,29.2,50.2,49.8,33.8,34.4,68.1,-8.2
2022,14,Horz,LOW,356,156,200,43.82022472,-8.3,98.5,106.8,0.2831,50.1,51.3,19.4,18.9,29,69.8,28.7,29.3,50.6,51.3,32.9,34.2,67.4,-12.3
2022,15,Ivy,MID,207,96,111,46.37681159,-4,100.5,104.5,0.3903,51,51.4,18.1,17.8,25.8,73.3,27.1,28.9,50.9,51.6,34.1,34.1,69,-8.8
2022,16,MAAC,LOW,337,170,167,50.44510386,-2.9,99.6,102.5,0.4166,48.4,48.7,18.1,18.1,28.3,71.8,31.4,32.1,47.7,48.3,33.1,32.9,67.8,-9.8
2022,17,MAC,MID,360,174,186,48.33333333,-4.2,101,105.2,0.3846,50.1,50.9,17.9,17.5,28.1,71.3,30.7,30.9,49.8,50.9,33.8,33.8,68.7,-10
