YEAR,TEAM NO,TEAM,SEED,ROUND,POWER,PATH,DRAW,WINS,POOL VALUE,POOL S-RANK,NCAA S-RANK
2022,943,Akron,13,64,53,81,-0.89,0,1.4,57,52
2022,942,Alabama,6,64,74.9,69.9,0.45,0,21,17,21
2022,941,Arizona,1,16,84.1,64.9,0.88,2,56.5,10,2
2022,940,Arkansas,4,8,74,69.2,-0.64,3,19.8,18,16
2022,939,Auburn,2,32,82.8,62.7,2.34,1,79.9,2,5
2022,938,Baylor,1,32,85.8,67.1,-0.8,1,65.7,7,4
2022,937,Boise St.,8,64,65.2,79,-1.82,0,4.6,49,29
2022,935,Cal St. Fullerton,15,64,50.8,83.5,-0.19,0,1.1,62,60
2022,934,Chattanooga,13,64,59.8,77.5,-0.07,0,3.1,51,49
2022,933,Colgate,14,64,54.6,67.3,3.06,0,5.2,43,55
2022,932,Colorado St.,6,64,63.3,73.3,-0.61,0,5.3,42,24
2022,931,Connecticut,5,64,71.1,68.6,0.72,0,15.7,22,17
2022,930,Creighton,9,32,62.9,72.5,0.6,1,5.7,40,33
2022,929,Davidson,10,64,62.2,71.7,0.76,0,5.9,39,40
2022,928,Delaware,15,64,52,79.3,1.01,0,1.6,55,57
2022,927,Duke,2,4,85,64.9,0.97,4,76.1,3,8
2022,926,Georgia St.,16,64,52.9,89.8,-0.75,0,0.8,64,61
2022,925,Gonzaga,1,16,90,66.6,-0.42,2,75.2,4,1
2022,924,Houston,5,8,83.9,70.1,0.01,3,58.8,9,18
2022,923,Illinois,4,32,77.9,70,-1.12,1,27.3,15,14
2022,922,Indiana,12,64,65.9,72.4,0.95,0,8,31,43
2022,921,Iowa,5,64,78.4,62.9,3.41,0,51.3,12,20
2022,920,Iowa St.,11,16,62.4,70.5,1.52,2,7.9,32,41
2022,919,Jacksonville St.,15,64,53.1,81.1,0.49,0,1.8,54,59
2022,918,Kansas,1,1,85.2,63.3,2.1,6,80.4,1,3
2022,917,Kentucky,2,64,86.9,67.5,-0.65,0,69.7,5,6
2022,916,Longwood,14,64,52.7,80.6,-0.63,0,1.5,56,53
2022,915,Loyola Chicago,10,64,67.7,72,0.66,0,8.1,30,39
2022,914,LSU,6,64,70.9,65.6,1.78,0,24.4,16,22
2022,913,Marquette,9,64,61.8,74.6,-0.03,0,4.7,46,35
2022,912,Memphis,9,32,74,72.5,0.6,1,16.2,21,36
2022,911,Miami FL,10,8,57.9,70,1.33,3,4.7,47,38
2022,910,Michigan,11,16,70.7,68.7,2.2,2,15.5,23,42
2022,909,Michigan St.,7,32,66.4,71.2,0.4,1,8.2,29,27
2022,908,Montana St.,14,64,53.7,78.5,-0.05,0,2,53,56
2022,907,Murray St.,7,32,66.7,76.1,-1.27,1,5,45,26
2022,906,New Mexico St.,12,32,59.7,72.6,0.89,1,5.4,41,48
2022,905,Norfolk St.,16,64,51.7,85.6,0.34,0,1.1,60,62
2022,904,North Carolina,8,2,69.8,71,1.01,5,10.5,28,30
2022,903,Notre Dame,11,32,63.5,76,-0.56,1,5.1,44,45
2022,902,Ohio St.,7,32,73.3,68.9,1.19,1,19.1,20,28
2022,901,Providence,4,16,62.6,68.1,0.02,2,6.8,37,15
2022,900,Purdue,3,16,83.7,67.2,0.13,2,55.2,11,11
2022,899,Richmond,12,32,55.8,74.5,0.27,1,3,52,47
2022,897,Saint Mary's,5,32,69,72.8,-1.26,1,7.6,34,19
2022,896,Saint Peter's,15,8,54.1,85.5,-0.76,3,1.2,58,58
2022,895,San Diego St.,8,64,67.5,70.7,1.12,0,11.3,27,31
2022,894,San Francisco,10,64,69.9,72.7,0.42,0,11.3,26,37
2022,893,Seton Hall,8,64,63.8,71.5,0.83,0,6.9,36,32
2022,892,South Dakota St.,13,64,59.4,64.4,3.01,0,7.9,33,50
2022,891,TCU,9,32,63.7,69.9,1.39,1,7.2,35,34
2022,890,Tennessee,3,32,82.1,63.8,2.3,1,60.2,8,10
2022,889,Texas,6,32,76.2,73.1,-0.54,1,19.2,19,23
2022,887,Texas Southern,16,64,50.8,85,0.49,0,1.1,63,64
2022,886,Texas Tech,3,16,79.4,66.5,0.58,2,36.1,14,12
2022,885,UAB,12,64,63.8,81,-1.85,0,3.4,50,46
2022,884,UCLA,4,16,83.9,65.2,1.75,2,65.9,6,13
2022,883,USC,7,64,65.8,67.2,1.77,0,12.6,24,25
2022,882,Vermont,13,64,62,73,0.99,0,6,38,51
2022,881,Villanova,2,4,80,66.9,-0.28,4,41,13,7
2022,880,Virginia Tech,11,64,67.1,77.8,-1.24,0,4.6,48,44
2022,879,Wisconsin,3,32,67.4,64.8,1.67,1,12.3,25,9
2022,878,Wright St.,16,64,50.2,83.8,0.8,0,1.2,59,63
2022,876,Yale,14,64,50.9,82.6,-1.19,0,1.1,61,54
2021,875,Abilene Christian,14,32,59.9,77.7,0.17,1,4,48,53
2021,874,Alabama,2,16,80.8,67.2,-0.47,2,45.7,8,5
2021,872,Arkansas,3,8,76.9,69.3,-1.21,3,30.8,15,9
2021,871,Baylor,1,1,89.1,66.8,-0.57,6,91.2,1,2
2021,870,BYU,6,64,70,71.4,-0.02,0,13.1,28,23
2021,869,Clemson,7,64,64.9,73.7,-0.45,0,5.9,40,27
2021,868,Cleveland St.,15,64,51.6,84.6,-0.51,0,1.1,60,58
2021,867,Colgate,14,64,60.9,76.5,0.51,0,4.4,47,55
2021,866,Colorado,5,32,70.9,70.2,-0.03,1,15,25,20
2021,865,Connecticut,7,64,75.2,73.8,-0.49,0,20.1,21,26
2021,864,Creighton,5,16,78,71.1,-0.46,2,24.9,17,17
2021,863,Drake,11,64,64.3,77.6,-1.17,0,5.2,42,46
2021,862,Drexel,16,64,51.9,87.4,-0.13,0,0.9,61,61
2021,861,Eastern Washington,14,64,55.8,76.5,0.51,0,2.7,53,56
2021,860,Florida,7,32,70.7,69.7,0.92,1,18,23,28
2021,859,Florida St.,4,16,81.7,66.9,0.74,2,55.6,7,13
2021,858,Georgetown,12,64,61.1,73.4,0.63,0,4.4,46,45
2021,857,Georgia Tech,9,64,66.8,77.3,-0.84,0,5.7,41,34
2021,856,Gonzaga,1,2,92.3,65.6,0.34,5,82.5,3,1
2021,855,Grand Canyon,15,64,58,84.9,-0.59,0,1.8,58,57
2021,854,Hartford,16,64,48.3,88.9,-0.52,0,0.6,63,62
2021,853,Houston,2,4,86.2,65.2,0.78,4,91,2,8
2021,852,Illinois,1,32,87.6,67.3,-0.95,1,69.1,5,3
2021,851,Iona,15,64,51.3,80.2,0.75,0,1.5,59,60
2021,850,Iowa,2,32,86.2,69.5,-1.9,1,66.9,6,7
2021,849,Kansas,3,32,77,69,-1.02,1,23.8,19,12
2021,848,Liberty,13,64,57.5,73.8,0.8,0,3.6,49,51
2021,847,Loyola Chicago,8,16,73.4,74.2,-0.12,2,14.4,26,30
2021,846,LSU,8,32,71.7,75.9,-0.72,1,9.9,32,29
2021,845,Maryland,10,32,70,76.2,-0.76,1,9.6,33,36
2021,844,Michigan,1,8,85.5,66.2,-0.11,3,69.8,4,4
2021,842,Missouri,9,64,61.9,74.1,0.12,0,4.4,45,33
2021,841,Morehead St.,14,64,53.4,77.7,0.17,0,2.1,56,54
2021,839,Norfolk St.,16,64,48.2,92,-1.33,0,0.5,64,64
2021,838,North Carolina,8,64,74.4,78.9,-1.78,0,11.3,30,31
2021,837,North Texas,13,32,60.8,73.7,0.82,1,5,44,50
2021,836,Ohio,13,32,60.4,79.8,-0.61,1,2.6,54,49
2021,835,Ohio St.,2,64,78.3,65.7,0.47,0,37.9,9,6
2021,834,Oklahoma,8,32,66.4,73.3,0.2,1,6.5,37,32
2021,833,Oklahoma St.,4,32,74.2,68.1,0.02,1,19.4,22,15
2021,832,Oral Roberts,15,16,50.4,77.5,1.52,2,1.8,57,59
2021,831,Oregon,7,16,73.3,74.1,-0.59,2,13.7,27,25
2021,830,Oregon St.,12,8,57.1,76.6,-0.42,3,2.7,52,44
2021,829,Purdue,4,64,73.9,70,-1.12,0,17.9,24,14
2021,828,Rutgers,10,32,66.7,71,0.99,1,9.2,36,40
2021,827,San Diego St.,6,64,74.2,70,0.42,0,20.8,20,24
2021,826,St. Bonaventure,9,64,70.9,75.6,-0.33,0,10.6,31,39
2021,825,Syracuse,11,16,64,75.4,-0.33,2,5.1,43,41
2021,824,Tennessee,5,64,77.8,66.9,1.52,0,37.2,12,19
2021,823,Texas,3,64,78.7,68.7,-0.83,0,35.5,14,11
2021,822,Texas Southern,16,64,46.9,85.3,0.41,0,0.7,62,63
2021,821,Texas Tech,6,32,76.2,71.7,-0.11,1,24.9,18,22
2021,820,UC Santa Barbara,12,64,60.8,78.6,-1.07,0,3,51,48
2021,819,UCLA,11,4,66.3,73.1,0.54,4,9.3,35,43
2021,818,UNC Greensboro,13,64,57.6,79.2,-0.47,0,2.5,55,52
2021,817,USC,6,8,77.7,70.2,0.35,3,27.9,16,21
2021,816,Utah St.,11,64,68.4,76,-0.56,0,9.6,34,42
2021,815,VCU,10,64,66.7,76.5,-0.86,0,6.4,38,38
2021,814,Villanova,5,16,78,68.2,0.91,2,37.2,11,18
2021,813,Virginia,4,64,81.5,70.5,-1.42,0,37.4,10,16
2021,812,Virginia Tech,10,64,63.2,72.9,0.35,0,6.3,39,37
2021,811,West Virginia,3,32,78.5,66.8,0.39,1,35.9,13,10
2021,809,Winthrop,12,64,59.1,77,-0.55,0,3.2,50,47
2021,808,Wisconsin,9,32,74.4,78.3,-1.14,1,12.1,29,35
2019,807,Abilene Christian,15,64,51.5,85.6,-0.79,0,1,59,60
2019,806,Arizona St.,11,64,61.6,75.3,-0.3,0,4.9,42,44
2019,805,Auburn,5,4,78.7,70.5,-0.17,4,27.8,14,18
2019,804,Baylor,9,32,64.3,76.6,-0.63,1,4.8,43,35
2019,803,Belmont,11,64,63.7,74.7,-0.07,0,5.8,38,42
2019,802,Bradley,15,64,50,84.6,-0.51,0,0.9,60,59
2019,801,Buffalo,6,32,72.5,69.8,0.48,1,15.2,22,23
2019,800,Cincinnati,7,64,69.4,72.6,-0.08,0,9.4,28,27
2019,799,Colgate,15,64,53.8,85.5,-0.76,0,1.2,58,58
2019,798,Duke,1,8,90.9,65.2,0.65,3,60.9,6,1
2019,797,Fairleigh Dickinson,16,64,47.3,90.5,-0.94,0,0.5,63,63
2019,796,Florida,10,32,67.1,75.4,-0.49,1,6.6,34,40
2019,795,Florida St.,4,16,80.4,67.5,0.38,2,38.7,11,14
2019,794,Gardner Webb,16,64,49.7,91.9,-1.3,0,0.6,62,61
2019,793,Georgia St.,14,64,54.5,77.7,0.17,0,2.2,54,55
2019,792,Gonzaga,1,8,90.8,65.6,0.34,3,103.4,2,4
2019,791,Houston,3,16,78.6,66.6,0.51,2,32.9,13,9
2019,790,Iona,16,64,47.4,87.1,-0.05,0,0.7,61,62
2019,789,Iowa,10,32,63.2,74.3,-0.12,1,5.3,40,37
2019,788,Iowa St.,6,64,74.1,69.5,0.57,0,18.2,19,24
2019,787,Kansas,4,32,76.6,68.6,-0.28,1,24.2,16,13
2019,786,Kansas St.,4,64,74.9,70.9,-1.66,0,18.7,17,15
2019,785,Kentucky,2,8,87.2,65.6,0.53,3,76.5,3,7
2019,784,Liberty,12,32,59.2,75.6,-0.09,1,3.4,49,48
2019,783,Louisville,7,64,69.9,71.1,0.44,0,11.1,26,25
2019,782,LSU,3,16,76.4,68.2,-0.51,2,24.6,15,11
2019,781,Marquette,5,64,69.1,73.2,-1.45,0,9,30,17
2019,780,Maryland,6,32,73.3,69.6,0.54,1,18.4,18,22
2019,779,Michigan,2,16,84,68.1,-1.03,2,49.5,8,8
2019,778,Michigan St.,2,4,86.1,65,0.91,4,71.9,4,6
2019,777,Minnesota,10,32,61.8,74,-0.02,1,4.8,45,39
2019,776,Mississippi,8,64,64.6,73.5,0.13,0,6.1,37,31
2019,775,Mississippi St.,5,64,73.7,69.9,0.11,0,16,21,20
2019,774,Montana,15,64,54.5,82.9,-0.02,0,1.6,57,57
2019,773,Murray St.,12,32,66.5,72.3,0.98,1,7.7,32,45
2019,772,Nevada,7,64,72.4,73.6,-0.42,0,13.5,24,26
2019,771,New Mexico St.,12,64,63.9,77.6,-0.74,0,4.7,46,47
2019,770,North Carolina,1,16,87.3,65.6,0.34,2,58.6,7,3
2019,768,North Dakota St.,16,64,46.8,90.6,-0.96,0,0.5,64,64
2019,767,Northeastern,13,64,56.5,76.1,0.26,0,2.8,51,52
2019,766,Northern Kentucky,14,64,56.6,80.1,-0.49,0,2.3,53,56
2019,765,Ohio St.,11,32,62.6,75.5,-0.37,1,4.8,44,41
2019,764,Oklahoma,9,32,62.6,72.8,0.51,1,5.1,41,36
2019,763,Old Dominion,14,64,55.6,79.6,-0.36,0,2.1,55,54
2019,762,Oregon,12,16,70.4,74,0.43,2,10.7,27,46
2019,760,Purdue,3,8,80.4,68.4,-0.64,3,36.9,12,12
2019,759,Saint Louis,13,64,56.4,79.6,-0.57,0,2,56,51
